params	total_open	total_closed	total_won	total_lost	win_streak	lose_streak	pnl_net	strike_rate	cagr	sharpe	sortino	volatility	avg_win	avg_loss	max_drawdown
{'period': 18, 'multiplier': 5.0, 'length': 20, 'mav': 'EMA', 'printlog': False}	0	5	3	2	2	1	14.53	60	89.208729434756	7.41923383631033	29.3833346608213	0.395608544189396	0.033124182020313	-0.01292682893213	-0.021321505267403
{'period': 18, 'multiplier': 4.5, 'length': 35, 'mav': 'EMA', 'printlog': False}	0	5	3	2	2	1	14.5	60	88.4157658143513	7.43411747366163	30.8915091739105	0.393975152756565	0.027851169980846	-0.013818805959297	-0.018621700714823
{'period': 16, 'multiplier': 5.0, 'length': 30, 'mav': 'EMA', 'printlog': False}	0	5	3	2	2	1	14.11	60	78.7853453700173	7.34891884938922	28.8885484228157	0.388359711482336	0.027386828226795	-0.014207532202862	-0.019733332073372
{'period': 16, 'multiplier': 4.5, 'length': 35, 'mav': 'EMA', 'printlog': False}	0	5	3	2	2	1	14.1	60	78.4935210554768	7.17876783207603	27.670601664346	0.397692148373866	0.027660940186083	-0.015008068134069	-0.020320005563669
{'period': 18, 'multiplier': 5.0, 'length': 30, 'mav': 'EMA', 'printlog': False}	0	5	3	2	2	1	14	60	76.4036483489153	7.07435091897302	28.8581072315928	0.401331827757266	0.028255255420527	-0.011444444420297	-0.018033800123544
{'period': 16, 'multiplier': 4.0, 'length': 40, 'mav': 'EMA', 'printlog': False}	0	5	3	2	2	1	13.88	60	73.6442615731129	7.258683268589	29.5358194226131	0.387259127688484	0.026852587261448	-0.009086264193359	-0.01967144898093
{'period': 18, 'multiplier': 4.0, 'length': 40, 'mav': 'EMA', 'printlog': False}	0	5	3	2	2	1	13.66	60	69.0485167069332	7.11000312519195	27.6347616750431	0.389765774159929	0.031943424311399	-0.009251169528999	-0.023721200434605
{'period': 6, 'multiplier': 2.0, 'length': 10, 'mav': 'EMA', 'printlog': False}	0	17	7	10	2	4	13.55	41.1764705882353	66.8406754483257	7.1306802173011	41.8096365994988	0.385526265564114	0.022702542931233	-0.007002491616467	-0.013791255844368
{'period': 18, 'multiplier': 5.0, 'length': 25, 'mav': 'EMA', 'printlog': False}	0	5	3	2	2	1	13.39	60	63.664794300636	7.11417709324568	26.4004876260349	0.381978837138021	0.031746447704692	-0.014664569421922	-0.020764905756895
{'period': 18, 'multiplier': 4.5, 'length': 30, 'mav': 'EMA', 'printlog': False}	0	5	3	2	2	1	13.33	60	62.6600833293901	7.14154250313302	26.9567200436756	0.378966085508939	0.031273481556151	-0.013745551344947	-0.020890784347589
{'period': 14, 'multiplier': 3.5, 'length': 50, 'mav': 'EMA', 'printlog': False}	0	5	3	2	2	1	12.92	60	55.3530472837841	6.43531506962739	20.5170691353663	0.410166540166429	0.027776547440204	-0.013655461277393	-0.039125275688433
{'period': 2, 'multiplier': 2.5, 'length': 10, 'mav': 'EMA', 'printlog': False}	0	18	8	10	2	3	12.82	44.4444444444444	53.7451912154637	6.80096642391337	27.7387016590717	0.384023915553722	0.023314374884441	-0.009708087528002	-0.022479712044956
{'period': 2, 'multiplier': 2.0, 'length': 15, 'mav': 'EMA', 'printlog': False}	0	18	7	11	2	4	12.81	38.8888888888889	53.5427517663661	7.00659071591567	32.7518496812308	0.371818800838752	0.026418954308871	-0.00689148652341	-0.016740540536589
{'period': 8, 'multiplier': 2.0, 'length': 10, 'mav': 'EMA', 'printlog': False}	0	17	7	10	2	4	12.8	41.1764705882353	53.3399868925577	6.6807488110613	35.1990728633423	0.390513301788838	0.026220822950227	-0.00661811823904	-0.017097959268644
{'period': 16, 'multiplier': 3.5, 'length': 50, 'mav': 'EMA', 'printlog': False}	0	5	3	2	2	1	12.69	60	51.701660569297	6.35353823796142	21.1071159733569	0.408608172784762	0.027255990783402	-0.013303923628208	-0.037450977039641
{'period': 12, 'multiplier': 4.5, 'length': 35, 'mav': 'EMA', 'printlog': False}	0	6	3	3	2	2	12.29	50	45.7887899946264	6.30075079302616	22.6792633545515	0.399425706978225	0.031878805645565	-0.009888008961741	-0.034493765852306
{'period': 14, 'multiplier': 4.5, 'length': 35, 'mav': 'EMA', 'printlog': False}	0	6	3	3	2	2	12.28	50	45.6114495502269	6.27279173358633	22.7074295325354	0.400905278520277	0.032375556760787	-0.010531406462256	-0.033525691508049
{'period': 6, 'multiplier': 2.0, 'length': 25, 'mav': 'EMA', 'printlog': False}	0	14	7	7	2	3	12.19	50	44.4834457997121	5.44926035539505	13.9498745877439	0.463094839108029	0.022530317554872	-0.020024904788556	-0.043818814647606
{'period': 14, 'multiplier': 5.0, 'length': 30, 'mav': 'EMA', 'printlog': False}	0	6	3	3	2	2	12.15	50	43.9801053435387	6.14995661661267	21.450774563484	0.405484848731805	0.032749888698264	-0.011250286725278	-0.036274816050974
{'period': 10, 'multiplier': 2.0, 'length': 20, 'mav': 'EMA', 'printlog': False}	0	14	6	8	2	4	12.14	42.8571428571429	43.7914769205312	6.01329153923032	18.4268669338365	0.414839351665736	0.021024307232791	-0.016468788120595	-0.033932760041613
{'period': 2, 'multiplier': 3.0, 'length': 15, 'mav': 'EMA', 'printlog': False}	0	14	7	7	2	3	12.08	50	43.0627879984541	5.92810523588124	17.393188506301	0.419318351598378	0.0203990348569	-0.014940865719806	-0.0293848326816
{'period': 18, 'multiplier': 4.0, 'length': 45, 'mav': 'EMA', 'printlog': False}	0	5	3	2	2	1	11.89	60	40.5739625605874	5.8378832870964	19.2268062781096	0.419424521940435	0.033205708796555	-0.01235771448576	-0.037037036133401
{'period': 14, 'multiplier': 4.0, 'length': 45, 'mav': 'EMA', 'printlog': False}	0	5	3	2	2	1	11.88	60	40.4815264790688	5.87986044504875	19.7981114483027	0.415961295144645	0.03254961150896	-0.011570414791054	-0.03655225441666
{'period': 8, 'multiplier': 2.0, 'length': 20, 'mav': 'EMA', 'printlog': False}	0	14	6	8	2	4	11.85	42.8571428571429	40.1019457669891	5.87626471364117	17.9257270143677	0.415187062358232	0.020749072920293	-0.016604685182749	-0.033997950753064
{'period': 2, 'multiplier': 2.5, 'length': 20, 'mav': 'EMA', 'printlog': False}	0	15	7	8	2	3	11.81	46.6666666666667	39.5988184438839	5.63762692606865	17.73696944615	0.43250938386662	0.023984891392099	-0.012945862933033	-0.036862561844058
{'period': 18, 'multiplier': 4.0, 'length': 35, 'mav': 'EMA', 'printlog': False}	0	6	3	3	2	2	11.79	50	39.3750232174445	7.21622667825663	24.2056560342526	0.332735672340688	0.028370036105784	-0.00687806851851	-0.021048754129351
{'period': 4, 'multiplier': 2.0, 'length': 10, 'mav': 'EMA', 'printlog': False}	0	19	7	12	2	5	11.77	36.8421052631579	39.1615225665569	6.48055563248848	27.1100778953565	0.371835078668788	0.025793707956041	-0.008002945609879	-0.018243713936282
{'period': 8, 'multiplier': 2.0, 'length': 25, 'mav': 'EMA', 'printlog': False}	0	14	7	7	2	3	11.73	50	38.6624486398083	5.2614496710442	13.1125935638421	0.463002352189774	0.022117927840672	-0.020313465136688	-0.045137134441653
{'period': 14, 'multiplier': 4.5, 'length': 40, 'mav': 'EMA', 'printlog': False}	0	5	3	2	2	1	11.73	60	38.6200840007491	5.75992467001726	18.9044782008551	0.419785493588639	0.033150352831299	-0.012653026507736	-0.036685386604184
{'period': 2, 'multiplier': 2.0, 'length': 25, 'mav': 'EMA', 'printlog': False}	0	15	7	8	2	3	11.72	46.6666666666667	38.517125339458	5.58822686208499	17.2880842626807	0.433303242277102	0.024098567111209	-0.013346339850314	-0.037828799110043
{'period': 16, 'multiplier': 4.0, 'length': 45, 'mav': 'EMA', 'printlog': False}	0	5	3	2	2	1	11.68	60	38.0566238230219	5.74094840638669	18.7376997804969	0.419565551082791	0.032990497514916	-0.012563072109555	-0.03717536452323
{'period': 16, 'multiplier': 5.0, 'length': 25, 'mav': 'EMA', 'printlog': False}	0	6	3	3	2	2	11.65	50	37.7469749030204	6.08332349770739	20.6300835260461	0.393566272184788	0.031408934745726	-0.010758895200172	-0.03416175874746
{'period': 14, 'multiplier': 4.0, 'length': 50, 'mav': 'EMA', 'printlog': False}	0	5	3	2	2	1	11.63	60	37.4989229156575	5.73977648689518	18.6040647222674	0.417942939790877	0.032515354520293	-0.012085871023276	-0.03778780505822
{'period': 18, 'multiplier': 2.0, 'length': 10, 'mav': 'EMA', 'printlog': False}	0	19	9	10	2	3	11.62	47.3684210526316	37.4204911686652	7.17768664528346	33.5110557300371	0.329939797746314	0.019835362473122	-0.006518973851401	-0.01191576495619
{'period': 16, 'multiplier': 2.0, 'length': 10, 'mav': 'EMA', 'printlog': False}	0	19	9	10	2	3	11.59	47.3684210526316	37.0654899797464	7.12476415779477	33.3066412062888	0.331628887599776	0.019932952358304	-0.006754361721553	-0.01191576495619
{'period': 4, 'multiplier': 2.0, 'length': 30, 'mav': 'EMA', 'printlog': False}	0	14	7	7	2	3	11.59	50	37.0208189735762	5.46542894925739	14.7769753933363	0.43898338904717	0.021009347931229	-0.017941871900078	-0.036995114188189
{'period': 16, 'multiplier': 4.5, 'length': 40, 'mav': 'EMA', 'printlog': False}	0	5	3	2	2	1	11.56	60	36.6741936107594	5.6114673931519	17.3436839286157	0.425562041971569	0.033498406323673	-0.013444108829751	-0.039606231904338
{'period': 18, 'multiplier': 4.5, 'length': 40, 'mav': 'EMA', 'printlog': False}	0	5	3	2	2	1	11.49	60	35.9195815721027	5.59022466237325	17.314472995068	0.424815446502434	0.033432801499416	-0.013519409183853	-0.039249515906336
{'period': 12, 'multiplier': 3.5, 'length': 50, 'mav': 'EMA', 'printlog': False}	0	6	3	3	2	2	11.46	50	35.5692785392692	6.36895011144855	18.8799873215168	0.368860029175585	0.02571537129008	-0.014141042200371	-0.037452293006749
{'period': 2, 'multiplier': 3.5, 'length': 25, 'mav': 'EMA', 'printlog': False}	0	11	4	7	2	3	11.38	36.3636363636364	34.7920756277875	5.89864813332317	22.81393698517	0.397520971129557	0.031994660770195	-0.008052405131431	-0.028133327240737
{'period': 2, 'multiplier': 4.0, 'length': 20, 'mav': 'EMA', 'printlog': False}	0	12	5	7	2	3	11.34	41.6666666666667	34.3517274890222	5.61145451055529	19.5519004863295	0.417781132571437	0.033402451665027	-0.009229346063769	-0.028824217723829
{'period': 12, 'multiplier': 4.0, 'length': 50, 'mav': 'EMA', 'printlog': False}	0	5	3	2	2	1	11.33	60	34.1673893814023	5.5858043362998	17.6857600397829	0.419201681396385	0.032188995195191	-0.012360308640083	-0.03878610353625
